,oare_id,label,excavation_no,transliteration,pdf
3603,42b314af-c18c-438e-9cce-feaddc0af869,Cuneiform Tablet Kt 94/k 914 (AKT 6c 581),Kt 94/k 914,a-na <gap> ù a-lá-ḫi-im qí-bi-ma um-ma PÚZUR-a-šùr-ma šu-ma ú-ku DUMU ṣí-lu-lu a-ma-kam wa-ša-áb <gap> ṭur4-da-ni-šu kà-lá ú <gap> KÙ.BABBAR 10 GÍN <gap> lá a-be-el <gap> we-da-ku <gap> a da-a-ni <gap> a-na en-na-nim pu-nu-a a da <gap> a-na ṣé-ri-a <gap> ṭur-da-ni-ma KÙ.BABBAR 1 GÍN il5-qé,6c
3605,42d35548-7845-487e-8aeb-f7ed3f81c909,Cuneiform Tablet Kt 94/k 789 (AKT 6b 347),Kt 94/k 789,a-na i-ku-pí-a a-bu-a e-ri-ší-im ku-da-tim šu-IŠTAR ù en-na-sú-in qí-bi-ma um-ma en-um-a-šur-ma a-na en-na-sú-in qí-bi-ma a-šùr ù i-lá-a-bi-ni lu i-dí-a-kà a-na ša i-ir-tí a-bi-a a-na pá-ra-sí-a ta-zi-zi-ni 4 ma-na KÙ.BABBAR ṣa-ru-pá-am iš-tù ITU.KAM ša ke-na-tim li-mì-im a-šur-na-da DUMU PUZUR4-a-na ḫa-bu-lá-tí-ma ṭup-pá-kà ḫa-ar-ma-am ú-kà-al a-na 20 ḫa-am-ša-tim KÙ.BABBAR ša-qá-lam qá-bi-a-tí 1.5 GÍN.TA i-na ITU.1.KAM-im a-na 1 ma-na-im ṣí-ib-tám tù-ṣa-ba-am u4-mu-kà MU.4.ŠÈ e-tí-qú KÙ.BABBAR i-té-zi-ba-am a-ḫa-ma a-na 1 ma-na-im KÙ.BABBAR ša i li-bi-kà iz-ku-ú iš-tù ITU.KAM ša sá-ra-tim li-mì-im <gap> 1.5 GÍN.TA i-na ITU.1.KAM tù-ṣa-ba-am a-na-kam ṭup-pá-am ša 5 um-me-a-ni <gap> ú-kà-al 1 ma-na-um <gap> a-na 3.33333 ma-na i-<gap>-kum ú 0.5 ma-na KÙ.BABBAR ma-na-aḫ-tám ta-ša-qá-lam e-zi-ib <gap> ma-na KÙ.BABBAR ša DUMU i-ku-nim ù ša-al-ṭá-tí-a ša a-šé-e-ú-šu a-na ša ki-ma i-a-tí qí-bi-ma a-na mì-ma KÙ.BABBAR a-nim ṣa-áb-ta-šu-ma KÙ.BABBAR ù ṣí-ba-sú ša-ak-ni-kà-šu-ma a-na ṣé-ri-a ù a-ṣé-er ša ki-ma šu-a-tí šé-bi-lá-nim-ma a-na-kam ša ki-ma šu-a-tí KÙ.BABBAR ù ṣí-ba-sú li-iš-qú-lu-nim-ma ṭup-pí-šu a-na ša ki-ma šu-a-tí lá-dí-in a-na ša ki-ma i-a-tí qí-bi-ma a-ḫu-a a-tù-nu šu-ma en-na-sú-in <gap>-a-tám e-pá-al-ku-nu e-pá-al-šu e-ṣí-iš šu-up-ra-nim-ma le-tí-qám,6b
3607,42d92fef-d05d-416e-9cf5-0976756bdaf7,Cuneiform Tablet Kt 94/k 1126 (AKT 6c 687),Kt 94/k 1126,um-ma a-lá-ḫu-um-ma a-na ša-lim-ÌR-dí ù a-lu-wa qí-bi4-ma mì-šu ša a-na-kam ra-dí-ú e-ta-wu-ú um-ma šu-nu-ma ṣú-ḫa-ru-kà ú-ṭá-tám a-ba-kam lá i-mu-ú ša a-lim{ki} wa li ša ta-ḫu-ur-a wa-li-wa-li ḫa-ri-a ša šu-mì-a ÁŠ ta-aq-bi4-a-šu-nu-tí um-ma a-tù-nu-ma a-na da-áš-e ú-ṭá-tám šu-da-a a-pu-tum iḫ-da-ma ú-ṭá-tám áb-kà-nim mì-ma lá i-ri-aḫ ší-tí ú-ṭí-tim áb-kà-nim a-ba-kam lá a-ba-kam tí-ir-ta-ak-nu li-li-kam lá-li-kam,6c
3609,433be08c-c218-4bbe-b0e7-d6c229dc37bd,Cuneiform Tablet Kt 94/k 928 (AKT 6e 1030),Kt 94/k 928,i-nu-mì a-na ḫa-ḫi-im a-li-ku 5 GÍN KÙ.BABBAR a-na sà-ḫe-er-tim <gap>-2 GÍN KÙ.BABBAR a-na É ub-ri a-dí-in 5 GÍN KÙ.BABBAR a-šar ANŠE.ḪI.A i-zi-zu-ni a-dí-in 1 GÍN KÙ.BABBAR a-na né-ba-ar-tim a-dí-in <gap> GÍN KÙ.BABBAR a-na ra-bi4-ṣí-im a-dí-in 4.33333 GÍN KÙ.BABBAR a-na sà-ri-dim <gap> KÙ.BABBAR <gap> ša na-ri-im áš-qúl 4 GÍN KÙ.BABBAR lu-bu-uš 2 ṣú-ḫa-ri,6e
3612,4359bb9c-25a6-4c10-98df-e9166adea494,Cuneiform Tablet Kt 94/k 867a (AKT 6d 813),Kt 94/k 867a,KIŠIB ú-zu-a KIŠIB i-dí-a-bi-im KIŠIB sú-kà-lim DUMU i-dí-sú-in 11.5 ma-na URUDU ší-ku-um i-ṣé-er sú-kà-lim lu-zi i-šu ITU.KAM áb-ša-ra-ni li-mu-um ku-bi-a ki-ma a-wa-at kà-ri-im ṣí-ib-tám ú-ṣa-áb,6d
3614,439bad1f-6ae9-4ee6-bf2e-e78c54c0bf5d,Cuneiform Tablet Kt 91/k 551 (AKT 8 235),Kt 91/k 551,a-na PUZUR4-a-šur id-na-a ù i-ku-pí-a-šur qí-bi-ma um-ma šu-IŠTAR-ma a-na id-na-a qí-bi4-ma 3 ma-na KÙ.BABBAR ṣa-ru-pá-am ḫa-bu-lá-at u4-mu-kà 12 ḫa-am-ša-tim e-tí-qú a-ḫi a-ta KÙ.BABBAR ú ṣi-ba-sú šu-qú-ul-ma a-na té-er-tí-a li-dí-nu <gap> a-na ša ki-ma i-a-tí qí-bi4-ma i-ḫi-da-ma KÙ.BABBAR ú ṣi-ba-sú ša-áš-qí-lá-šu-ma a-na té-er-tí-a pá-ni-a,8
3619,4433bc7d-6c00-4d83-a763-c6a6921c3537,Cuneiform Tablet Kt 91/k 360 (AKT 8 72),Kt 91/k 360,1.5 ma-na KÙ.BABBAR ṣa-ru-pá-am iš-tí a-šùr-na-da DUMU er-nu-id iš-tù a-lim{ki} i tù-a-ri-šu i-ša-qal šu-ma lá iš-qúl 1.5 GÍN.TA i ITU.KAM a-na ma-na-im ú-ṣa-áb 0.66666 ma-na LÁ 1 GÍN KÙ.BABBAR ù me-nu-ni-a-nam KI nu-a-im a-na ITU.1.KAM i-ša-qal 2.5 ma-na KÙ.BABBAR ṣa-ru-pu-um i-ṣé-er a-šùr-ta-ak-lá-ku e-lá-ma i-šu iš-tù ḫa-muš-tim ša en-na-ma-nim 1.5 GÍN.TA i ITU.1.KAM a-na ma-na-im ú-ṣa-áb ṭup-pu-šu a-na-kam i-ba-ší ší-im 2 TÚG.ḪI.A 0.33333 ma-na KÙ.BABBAR ṣa-ru-pu-um iš-tí a-mur-a-šùr DUMU ili5-ba-ni 4 ma-ku-ḫu KI i-dí-a-šùr 4.5 GÍN KÙ.BABBAR KI en-na-nim áš-li-kim 15 GÍN KÙ.BABBAR ù ku-sí-tám ma-al-ku-a-i-tám a-na ṣí-lá-{d}IŠKUR a-na TÚG.ḪI.A ša-a-mì-im a-dí-in ŠÀ.BA 1 TÚG ú-šé-bi4-lam 4.25 GÍN KÙ.BABBAR ša a-wi-il5-tim a-na da-a-a a-dí-in 0.33333 ma-na 4 GÍN KÙ.BABBAR ṣa-ru-pá-am a-na en-um-a-šur DUMU ú-zu-a a-na ta-ad-mì-iq-tim a-dí-in 0.5 ma-na KÙ.BABBAR iš-tù bu-ru-uš-ḫa-tim i-na tù-a-ri-šu a-šùr-na-da i-ša-qal 5.33333 GÍN KÙ.BABBAR iš-tí a-mur-{d}UTU 0.33333 ma-na KÙ.BABBAR na-ki-ki <gap> ša ì-lí-a DUMU a-šur-<gap> id-na-a ú-bi4-il5 10 GÍN KÙ.BABBAR KI šu-IŠTAR 1 GÍN KI qá-qá-dí-nim 4 GÍN KI šu-be-lim 2 GÍN iš-tí id-na-a 4 GÚ SÍG.ḪI.A ù me-ga-nam i-na qé-ra-áb É-tim e-zi-ib,8
3620,44ce55c2-045d-4f6c-9590-7c021f2f7d30,Cuneiform Tablet Kt 94/k 1340 (AKT 6e 1088),Kt 94/k 1340,<gap> ma-na 12 GÍN KÙ.BABBAR KI be-lúm-ba-ni ŠÀ.BA <gap> GÍN KÙ.BABBAR a-na <gap> a-dí-in a-ḫa-ma 1 GÍN KÙ.BABBAR <gap> šu ú ta <gap> nim a-dí-in <gap> KÙ.BABBAR a-na a-ta-ta DUMU šu-ku-bi-im a šu-mì-šu a-dí-in 1 GÍN KÙ.BABBAR a-na ta-aq-ri-bi-tí-šu a šu-mì-šu a-dí-in,6e
3621,44f8eb46-7002-4024-b96c-2a9e050b5e5c,Cuneiform Tablet Kt 94/k 1019 (AKT 6d 777),Kt 94/k 1019,um-ma ma-ma-ḫi-ir-ma a-na ba-zi-a šu-ḫu-bur ku-ul-ma-ku-ul-ma ú PUZUR4.IŠTAR qí-bi4-ma 3 ma-na KÙ.BABBAR ku-nu-ki-a ša en-um-a-šur DUMU šál-ma-a-šur ub-lá-ku-nu-tí-ni a-ḫu-ú-a a-tù-nu i-zi-za-ma pì-ri-kà-ni dam-qú-tim ša-ma-ni-ma iš-tí a-li-ki pá-ni-im-ma šé-bi4-lá-nim ANŠE É tam-kà-ri-im sí-sí-a-nim i-na sí-sí-kà-at pì-ri-kà-ni šu-mì tám-kà-ri-im wa-dí-a a-ḫu-a a-tù-nu i-iḫ-da-ma iš-tí a-li-ki-im pá-ni-im-ma áb-kà-nim,6d
3622,451a3391-98cc-45e5-93f9-29248085051e,Cuneiform Tablet Kt 94/k 708 (AKT 6e 1006),Kt 94/k 708,0.33333 ma-na KÙ.BABBAR ša a-na sú-sá-a aḫ-bu-lu a-ṣé-er 0.33333 ma-na-e-a 0.25 GÍN áb-nam ta-ur,6e
3624,455d3a2e-5094-4cb3-847d-a02cbc7be6e1,Cuneiform Tablet Kt 91/k 508 (AKT 8 165),Kt 91/k 508,a-na pì-lá-aḫ-IŠTAR qí-bi4-ma um-ma um-mì-iš-ḫa-ra-ma a-šu-mì li-ba-kà lam-nu-ma tù-ṣú-ú-ni ša KÙ.BABBAR 10 GÍN i-na qá-tí-a lá i-šu-ú-ma lá tí-<gap> ú i-a-ú-um li-bi4-i e-mu-ú-ma iš-tí-kà lá a-ta-wu-ú a-ḫi a-ta li-ba-kà lá tù-lá-ma-an a-lá-nu-kà a-ḫa-am ša-ni-a-am ú-lá i-šu i-na pa-ni-tí-ma ḫa-ra-ni-tim 2 TÚG.ḪI.A SIG5-tim a-na lí-ta-áb-ší-kà ú-šé-ba-lá-kum KÙ.BABBAR 1 ma-na ša ší-im er-dí-im ša a-dí-nu a-lá-qé-ma AN.NA a-ša-am-ma ù-šé-ba-lá-kum <gap> mì-ma li-ba-kà lá <gap> DINGIR-šu ú-na-zu-mu <gap>-a-<gap> i da <gap> šu <gap> ú ni-a-am li-ba-am ḫa-dí,8
3625,456c0e74-686c-4bb3-a668-b52a15044b6c,Cuneiform Tablet Kt 94/k 1395 (AKT 6b 312),Kt 94/k 1395,um-ma i-ku-pí-a-ma a-na en-nam-a-šur lá-qé-pí-im <gap> a-na-a-na ù šu-<gap> qí-bi-ma <gap> AN.NA <gap> šu-ma <gap> AN.NA <gap> i-<gap> KÙ.BABBAR ša a-dí-<gap> 20 ma-na AN.NA ša-a-ma-nim ù 40 ma-na AN.NA ša li-bi-kà ra-dí-ma iš-té-ni-iš 1 GÚ AN.NA šé-bi-lam AN.NA lu ù <gap> 40 ma-na AN.NA ša li-bi-kà en-nam-a-šur li-ik-nu-uk AN.NA ša a-tù-nu ta-ša-a-ma-ni a-tù-nu iš-tí-šu ku-un-kà a-na ší-tí KÙ.BABBAR-pí-a TÚG.ḪI.A ša ta-al-ḫa-at ša-ma-nim šu-ma ša ta-al-ḫa-at lá-šu ší-ma-am ša ba-lá-ṭí-a ša-ma-nim a-ḫu-ú-a a-tù-nu iḫ-da-ma {d}IM-pí-lá-aḫ ṭur4-da-nim a-na en-nam-a-šur qí-bi-ma a-na ša ú-na-ḫi-du a-ḫi a-ta i-ḫi-id-ma ṣú-ḫa-ri ṭur4-dam,6b
3626,45a2b191-1aac-4bf9-b306-d401002516b5,Cuneiform Tablet Kt 94/k 1505 (AKT 6e 1107),Kt 94/k 1505,e-zi-ib ša ṭup-pì-šu ḫa-ar-mì-im 1.66666 ma-na 5 GÍN KÙ.BABBAR i-na li-bi ku-tí-bi-iš a-ḫa-ma i-nu-mì a-na sí-kà-tim a-ṣé-er bé-li-šu i-li-ku-ni 1 {TÚG}ku-ta-nam ša 0.5 ma-na KÙ.BABBAR a-dí-šu-um a-ḫa-ma ku-ta-NIM SIG5 šu-ut il5-qé,6e
3628,45b357d1-83f3-4c32-ae77-648fe544f96c,Cuneiform Tablet Kt 94/k 676 (AKT 6e 916),Kt 94/k 676,1 ma-na URUDU SIG5 ša ša-du-we-šu a-na a-lu-a-ri-im ki-ra-nim ṭá-bi-im ša ma-ma-a a-na PUZUR4-a-mu-ri-im DUMU ni-mar-IŠTAR a-ḫa-ma a-dí-in-šu iš-tù ma-ma-a i-na tù-a-ri-šu ú-ba-lam e-zi-ib 4 a-lu-a-ra-tim ší-im KÙ.BABBAR ú URUDU ma-sí-im ša il5-qé-ú-ni IGI šu-be-lim DUMU ku-zi-zi-a,6e
3629,45baefd1-bf22-4a45-b2f6-81d06fd7792f,Cuneiform Tablet Kt 94/k 750 (AKT 6b 396),Kt 94/k 750,KIŠIB en-na-sú-in DUMU i-dí-a-bi-im KIŠIB a-šur-ta-ak-lá-ku DUMU i-ku-nim KIŠIB pí-lá-aḫ-IŠTAR DUMU a-šur-SIPA 6.83333 ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er pí-lá-aḫ-IŠTAR DUMU a-šur-SIPA DAM.GÀR i-šu-ú iš-tù ḫa-mu-uš-tim ša en-na-sú-in DUMU ku-ra-ra a-na 7 ḫa-am-ša-tim KÙ.BABBAR i-ša-qal šu-ma i-na ma-lá u4-me-šu KÙ.BABBAR lá iš-qú-ul 1.5 GÍN.TA i-na ITU.1.KAM a-na 1 ma-na-im ṣí-ib-tám ú-ṣa-áb ITU.1.KAM áb-ša-ra-ni li-mu-um šu-sú-in DUMU ba-bi-lim 3 GÍN KÙ.BABBAR a-na šu-IŠTAR DUMU ma-li-ki-il5-šu áš-qúl 2.5 GÍN KÙ.BABBAR a-na a-lá-ni ša-ar-ša-ra-ni áš-qú-ul-ma a-na mu-za a-dí-in 2 GÍN KÙ.BABBAR ší-im 2 iš-ra-tim a-na a-šur-ma-lik DUMU lu-zi-na mì-ma a-nim a-šu-mì ku-da-tim ú-ša-qí-il5,6b
3630,45d82c9d-4a66-43c9-bef9-9c57007a85d4,Cuneiform Tablet Kt 94/k 1316 (AKT 6b 443),Kt 94/k 1316,um-ma ku-zi-a-ma a-na en-nam-a-šur qí-bi-ma URUDU ku-nu-ki ša šu-zu-zu ni-ip-ṭù-ur 51.5 ma-na URUDU SIG5 ni-is-ni-iq-ma URUDU SIG5 ku-nu-ki-kà ni-ip-ṭù-ur-ma 46 ma-na ni-is-ni-iq URUDU lá-mu-nam 37 ma-na ni-is-ni-iq ŠU.NÍGIN URUDU-i-kà lu SIG5 lu lá-mu-num 2 GÚ 14.5 ma-na ku-nu-ki-a ša-lim-wa-ar-dí na-áš-a-kum SÍG.ḪI.A lu gám-ru-ma lu ni-is-ḫa-tum lu mu-ṭá-ú 4 GÚ LÁ 5 ma-na iz-ku-a-am ṭup-pí ku-nu-ki-kà na-áš-ú-ni-kum,6b
3631,45e8d7f5-03bb-4f77-b610-fb5b485cfc6b,Cuneiform Tablet Kt 94/k 1692 (AKT 6d 771),Kt 94/k 1692,um-ma i-na-a-ma a-na a-šur-DU10 ú MAN-a-šur qí-bi-ma a-na-kam ru-ba-um ù ru-ba-tum a-na ḫa-ra-na-tim ša pá-zu-ur-tim iš-pu-ru-ma um-ma šu-nu-ma ša i ma-tim TÚG.ḪI.A ù AN.NA na-áš-ú ma ta-ma ra ni ṣa-áb-ta-ma AN.NA ú TÚG.ḪI.A a-tù-nu kà-i-lá-ma ra-ga am i-a-tí ri-id-a-am ú a-na ša ḫa-ra-an sú-ki-nim iš-ta-áp-ru a-pu-tum AN.NA ù TÚG.ḪI.A lá tù-pá-za-ra ú a-na ḫa-ra-an sú-ki-nim mì-ma lá ta-ša-kà-na a-pu-tum a-wa-tum da-na-at mì-ma e šé-bi4-lá-ma li-ba-ak-nu e im-ra-aṣ ṭup-pá-am ší-ta-me-šu-ma a-na a-šur-DU10 šé-bi4-il5-šu,6d
3632,45eee3b0-bf4e-423d-88b1-ac585dee66b4,Cuneiform Tablet Kt 91/k 370 (AKT 8 280),Kt 91/k 370,ṣú-ḫa-ru-ú a-sà-nim ša É ás-qú-dim ú pì-lá-aḫ-IŠTAR DUMU e-lá-ma ḫa-ra-nam iš-té-ni-iš i-li-ku-nim-ma i-na ḫu-ra-ma a-na É ku-bi-a iš-té-ni-iš e-ru-bu-ma ni-is-ḫa-tí-šu-nu É.GAL-lúm iš-té-ni-iš i-sú-ùḫ i-na wa-ar-ki-tim lu-qú-tum i-ṣí-bi-it-ma lu-qú-tám ša a-sà-nim É.GAL-lúm i-ta-ba-al AN.NA ša pí-lá-aḫ-IŠTAR É ku-bi-a ú-pá-zi-ru-ma i-na É ub-ri iš-lim-ma be-lá-num i-li-kam-ma ki-ma pí-lá-aḫ-IŠTAR im-ṣí-ma AN.NA il5-qé ku-bi4-ma a-na bé-lá-nim DUMU šu-a-šur AN.NA ip-qí-id um-ma bé-lá-num-ma ma-ṣa-ku a ma-lá ṭup-pí-im ša a-lim{ki} kà-ru-um ḫu-ra-ma ṣa-ḫe-er GAL i-dí-ni-a-tí-ma IGI GÍR ša a-šur ší-bu-tí-ni ni-dí-in IGI a-šur-ša-du-ì-lí IGI ir-ma-a-šur DUMU a-šur-ma-lik IGI a-bu-ša-lim DUMU šu-IŠTAR,8
3633,4633e49c-6469-4b90-a381-a9853f1c0b9f,Cuneiform Tablet Kt 94/k 1752 (AKT 6e 947),Kt 94/k 1752,<gap> ú-ṣa-áb ITU.KAM qá-ra-a-tim li-mu-um bu-zu-zu 20 ma-na KÙ.BABBAR i da-na-ma qá-tí a-ša-kà-an IGI a-šur-GAL IGI a-šur-{d}UTU-ši IGI pí-lá-aḫ-a-šur 10 ma-na KÙ.BABBAR ṣa-ru-pu-um iš-tí PUZUR4-a-na ni-a-im iš-tù ḫa-mu-uš-tim ša a-šur-ta-ak-lá-ku ù kà-sí-a a-na 30 ḫa-am-ša-tim i-ša-qal šu-ma lá iš-qúl 0.5 GÍN.TA i-na ITU.KAM a-na 1 ma-na-im ṣí-ib-tám ú-ṣa-áb ITU.KAM té-i-na-tim li-mu-um a-mur-a-šur IGI PUZUR4-{d}IM DUMU i-dí-IŠTAR IGI du-um-qá-a DUMU kur-ub-a-a <gap> mu-ḫu-ur-šu <gap> a-ṣé-er KÙ.BABBAR <gap> a-šur-ta-ak-lá-ku <gap> ak-lá-ku <gap>,6e
3635,46bf198f-4548-40b5-b518-8c7acd901a5c,Cuneiform Tablet Kt 92/k 183 (AKT 8 294),Kt 92/k 183,0.83333 ma-na 6.5 GÍN KÙ.BABBAR ša sú-ḫu-ur-pì-a-lá a-na sú-e-ta-ta ḫa-bu-lu KÙ.BABBAR a-al-DU10 iš-qú-ul a-al-DU10 i-lá-ak-ma né-mu-lu-um i-ta-áb-ší i-né-mì-li-im i-lá-qé šu-ma né-mu-lu-um lá-šu KÙ.BABBAR ù ṣí-ba-sú a-li-a ù ḫa-ar-ša a-na a-al-DU10 i-ša-qú-lu IGI ší-il5-ma-šu IGI šu-pu-nu-ma-an,8
3638,46edfe73-4380-41d6-be65-cb560f283a6e,Cuneiform Tablet Kt 94/k 999 (AKT 6d 795),Kt 94/k 999,um-ma šu-IŠTAR-ma a-na šu-ma-li-ib-ší Ì-lí-a-lim ù a-mur-IŠTAR qí-bi-ma a-na šu-ma-li-ib-ší ù Ì-lí-a-lim qí-bi-ma 14 GÍN KÙ.BABBAR ṣa-ru-pá-am ḫa-bu-lá-tù-nu ṭup-pá-ak-nu ḫa-ar-ma-am ú-kà-al u4-mu-ku-nu ša-na-at e-tí-qú KÙ.BABBAR i qá-qá-ad šál-mì-ku-nu ù ke-ni-ku-nu ra-ki-is KÙ.BABBAR KÙ.BABBAR-áp tám-kà-ri-im a-ma-kam KÙ.BABBAR ù ṣí-ba-sú a-na a-mur-IŠTAR šu-qú-ul a-na a-mur-IŠTAR qí-bi4-ma a-pu-tum i-ḫi-id KÙ.BABBAR ú ṣí-ba-sú ša-áš-qí-il5,6d
3639,4714e1c4-4626-43c5-8cf0-fb7085c33048,Cuneiform Tablet Kt 91/k 296 (AKT 8 93),Kt 91/k 296,a-na e-lá-ma qí-bi-ma um-ma IŠTAR-pì-lá-aḫ-ma 3 ma-na AN.NA ḫi-na-a i-na <gap> ú-kà-al-ma lá i-pá-ṭù-ru-nim li-bu-šu lá i-lá-mì-in KÙ.BABBAR 1.5 ma-na i-ḫi-id-ma šé-bi4-lam lá ša áš-pu-ra-ku-ni um-ma ḫi-na-a-ma té-er-ta-kà li-li-kam-ma ú-šé-ba-la-am áš-pu-ur-ma KÙ.BABBAR lá tù-ḫa-li-iq i-ḫi-id-ma KÙ.BABBAR šé-bi4-lam KÙ.BABBAR 1 GÍN li-li-am KÙ.BABBAR lá KÙ.BABBAR-áp-šu šu-ut-ma KÙ.BABBAR i-dí-sú-in,8
3641,47352666-d05f-48e1-b68f-ad2cbe026ef5,Cuneiform Tablet Kt 91/k 493 (AKT 8 228),Kt 91/k 493,2.6666600000000003 ma-na 4 GÍN KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er ša-lim-a-ḫi-im ù šu-sú-in en-na-sú-in i-šu iš-tù SAG ITU.KAM ša ki-na-tim li-mu-um ša qá-té ì-lí-dan a-na ITU.KAM i-ša-qú-lu šu-ma lá iš-qú-lu 1.5 GÍN.TA a-na 1 ma-na-im i-na ITU.KAM ṣí-ib-tám ú-ṣú-bu IGI IŠTAR.DINGIR-šu DUMU a-šur-ba-ni IGI a-da DUMU e-na-a-šur,8
3642,473b198b-7acb-44d3-a15e-705e22aa13f4,Cuneiform Tablet Kt 94/k 1623 (AKT 6e 984),Kt 94/k 1623,šu-ma za-<gap> ša-lim-a-šùr šu-ma a-ší-it ša-al-ma-at <gap> ma <gap> a-na a-wa-tim a-ni-a-tim kà-ru-um i-dí-ma lu ta am li ú <gap>,6e
3643,4744dc40-1edf-48b7-8dcb-50373975ed5e,Cuneiform Tablet Kt 94/k 988 (AKT 6e 1037),Kt 94/k 988,4.33333 ma-na 4 GÍN KÙ.BABBAR ù 3.33333 GÍN KÙ.GI i-ší-im TÚG-ba-tí-a iš-tù wa-aḫ-šu-ša-na ub-lu-nim,6e
3644,474a0cdb-9910-466c-8431-3c0a20298013,Cuneiform Tablet Kt 94/k 1249 (AKT 6e 1062),Kt 94/k 1249,ŠU.NÍGIN 2 ma-na 15.66666 GÍN KÙ.BABBAR ṣa-ru-pá-am i-nu-mì a-na ḫa-ḫi-im a-li-ku i-na ni-kà-sí a-šur-GAL iš-ku-nam-ma um-ma a-na-ku-ma mì-ma KÙ.BABBAR a-ni-im ni-kà-sú-ni IGI en-na-sú-in DUMU nu-ur-DINGIR-šu ù šál-ma-a-šùr DUMU ba-za-za ni-sí-ma i-na li-bi4 3 GÚ URUDU SIG5 ù 12 ku-ta-ni ša a-na šál-ma-a-šur ù ku-wa-tí e-zi-bu tù-ṣa-ḫi-ra-am a-lá-an 10 GÍN KÙ.BABBAR ša a-na lá-ma-sí-tim 7.5 GÍN ša ḫa-bu-a-lá ù 2 GÍN ša da-dí-a ú ku-wa-tí mì-ma ša-ni-a-am i-na ba-áb ḫa-ra-nim a šu-mì-a lá ta-áš-qúl um-ma šu-ut-ma <gap> ša URUDU SIG5 <gap> lá ša-bu 20 <gap> ma-na KÙ.BABBAR ša <gap> AN tal-qé-ú ù i-na ša ik-ri-bi4-kà a šu-mì-kà ú-ša-qí-il5 um-ma a-na-ku-ma šál-ma-a-šur ša i-na re-ší-ni i-za-zu lu-ḫa-sí-is-ni-a-tí-ma šu-ma lá ta-aḫ-ta-sà-as GÍR ša {d}a-šùr ta-am-am-ma KÙ.BABBAR ša ik-ri-bi4-a li-ḫi-li-iq IGI šu-IŠTAR DUMU šu-a-a IGI ú-ṣú-ra-nim ma-mì-tám a-dí-šum,6e
3647,477ce87f-8585-4113-bf83-611ddf62de8a,Cuneiform Tablet Kt 91/k 440 (AKT 8 117),Kt 91/k 440,1.66666 ma-na KÙ.BABBAR ku-nu-ki-a a-na aḫ-ša-lim 0.5 ma-na KÙ.BABBAR ku-nu-ki-a a-na i-dí-a-šur ṣé-eḫ-ri-ì-lí ú-bi4-il5-šu-nu-tí IGI šu-ku-bi4-im DUMU qà-a-a-tim IGI a-lá-ḫi-im DUMU a-šur-ma-lik,8
3649,47a707a8-2032-4eec-9584-65164888fb06,Cuneiform Tablet Kt 91/k 398 (AKT 8 57),Kt 91/k 398,KIŠIB e-la-lí DUMU i-ku-nim KIŠIB ša-lim-a-ḫi-im DUMU dan-a-šur KIŠIB en-na-sú-en6 DUMU sú-kà-lí-a KIŠIB i-dí-a-šur DUMU a-šur-ma-lik ša 1 ma-na 1.5 GÍN i-ṣé-er DINGIR-šu-GAL DUMU bu-la-lí e-lá-ma i-šu iš-tù ITU.KAM áb-ša-ra-ni li-mì-im šu-ḫu-bur a-na ITU.3.KAM i-ša-qal šu-ma lá iš-qúl ki-ma a-wa-at kà-ri-im ú-ṣa-áb KÙ.BABBAR iš-ri-iq-ma kà-ru-um kà-ni-iš a-na šu-šál-šum i-dí-šu,8
3650,47aa6127-6890-48d1-b9e3-bfe77a19a114,Cuneiform Tablet Kt 94/k 1240 (AKT 6d 841),Kt 94/k 1240,10.16666 GÍN KÙ.BABBAR a-na e-me-er-tim 3 GÍN KÙ.BABBAR a-na ša-at-ì-lí ù na-ḫi-iš-tim 3 GÍN KÙ.BABBAR a-na ḫa-tim pá-ar-ší-kam a-na be-lá-sú-nu na-aḫ-lá-áp-tám a-na lá-ma-sí mì-ma a-nim a-na a-šur-ma-lik DUMU ú-sá-ri-a a-dí-in 2 GÍN KÙ.BABBAR a-na ni-qé IGI ku-bi-a IGI a-šur-pí-lá-aḫ DUMU a-mur-a-šur ṣú-ba-tám a-na wa-ar-da-nim šé-né-en a-na ú-ṣú-ur-ša-a-šur 3 GÍN KÙ.BABBAR a-na a-mur-a-šur ù e-me-er-tim 1.5 GÍN KÙ.BABBAR a-na ni-qé-šu mì-ma a-nim a-na en-um-a-šur DUMU ku-ku-ra-nim a-dí-in IGI kàr-ri-a ša É sú-kà-li-a,6d
3651,47aa920a-5545-4a07-be7e-0191d8c95ef6,Cuneiform Tablet Kt 91/k 324 (AKT 8 128),Kt 91/k 324,2.5 {TÚG}ku-ta-ni i-li-a i-na-pá-al 1.5 GÍN KÙ.BABBAR i-lá-qé 0.5 ma-na 1.66666 GÍN kur-ub-IŠTAR i-na-pá-al 5.66666 GÍN a-šùr-lá-ma-sí,8
